institute_id,name,tlr,rpc,go,oi,perception,city,state,score,rank
IR-E-U-0456,Indian Institute of Technology Madras,93.55,92.39,84.36,63.99,100,Chennai,Tamil Nadu,89.05,1
IR-E-I-1074,Indian Institute of Technology Delhi,85.8,96.18,80.32,56.19,90.85,New Delhi,Delhi,85.36,2
IR-E-U-0306,Indian Institute of Technology Bombay,89.12,95.3,76.47,48.17,89.61,Mumbai,Maharashtra,84.4,3
IR-E-U-0573,Indian Institute of Technology Kharagpur,73.14,88.2,84.12,57.79,84.14,Kharagpur,West Bengal,79.41,4
IR-E-I-1075,Indian Institute of Technology Kanpur,79.07,81.79,82.56,46.61,81.35,Kanpur,Uttar Pradesh,77.57,5
IR-E-U-0560,Indian Institute of Technology Roorkee,75.05,75.9,89.84,58.65,54.61,Roorkee,Uttarakhand,74.57,6
IR-E-U-0053,Indian Institute of Technology Guwahati,82.55,63.6,78.45,58.86,54.49,Guwahati,Assam,70.87,7
IR-E-U-0013,Indian Institute of Technology Hyderabad,78.91,49.18,71.71,56.21,55.38,Hyderabad,Telangana,63.92,8
IR-E-U-0439,Anna University,63.17,64.13,63.24,52.66,70.13,Chennai,Tamil Nadu,63.12,9
IR-E-U-0467,National Institute of Technology Tiruchirappalli,68.36,46.64,72.76,62.2,63.54,Tiruchirappalli,Tamil Nadu,61.62,10
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,68.61,45.63,77.36,53.16,47.42,Varanasi,Uttar Pradesh,59.8,11
IR-E-U-0308,Institute of Chemical Technology,67.76,57.3,76.32,49.68,19.77,Mumbai,Maharashtra,59.73,12
IR-E-U-0273,Indian Institute of Technology Indore,75.66,49.17,70.18,57.3,21.29,Indore,Madhya Pradesh,59.35,13
IR-E-U-0575,Jadavpur University,53.4,65.71,74.79,37.83,46.2,Kolkata,West Bengal,59.09,14
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,63.62,59.12,70.03,38.12,35.31,Dhanbad,Jharkhand,58.18,15
IR-E-U-0357,National Institute of Technology Rourkela,59.99,56.05,75.71,46.34,31.6,Rourkela,Odisha,57.75,16
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,77.5,37.78,65.03,57.3,34.78,Bhubaneswar,Odisha,56.8,17
IR-E-U-0490,Vellore Institute of Technology,54.65,57.34,63.57,56.69,44.81,Vellore,Tamil Nadu,56.46,18
IR-E-U-0584,Indian Institute of Engineering Science and Technology,73.65,45.77,59.79,47.23,38.39,Shibpur,West Bengal,56.35,19
IR-E-U-0184,Indian Institute of Technology Mandi,78.61,34.57,68.06,65.65,18.72,Mandi,Himachal Pradesh,56,20
IR-E-U-0237,National Institute of Technology Karnataka,59.48,41.31,75.46,50.4,48.85,Surathkal,Karnataka,55.25,21
IR-E-U-0064,Indian Institute of Technology Patna,75.13,39.08,65.02,50.48,25.54,Patna,Bihar,54.86,22
IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),69.51,44.96,67.28,55.65,13.66,Patiala,Punjab,54.73,23
IR-E-U-0139,Indian Institute of Technology Gandhinagar,80.59,31.01,56.26,61.34,34.59,Gandhinagar,Gujarat,54.32,24
IR-E-U-0391,Birla Institute of Technology & Science,63.61,35.15,71.4,54.5,44.67,Pilani,Rajasthan,53.82,25
IR-E-U-0025,National Institute of Technology Warangal,68.19,31.77,72.5,54.98,32.17,Warangal,Telangana,53.21,26
IR-E-U-0108,Jamia Millia Islamia,64.25,42.18,75.11,50.9,10.88,New Delhi,Delhi,53.13,27
IR-E-U-0263,National Institute of Technology Calicut,63.47,28.22,77.01,61.09,36.71,Kozhikode,Kerala,52.69,28
IR-E-U-0378,Indian Institute of Technology Ropar,76.84,29.22,64.57,60.1,16.27,Rupnagar,Punjab,52.37,29
IR-E-U-0255,Indian Institute of Space Science and Technology,77.52,22.75,61.95,56.2,40.33,Thiruvananthapuram,Kerala,52.12,30
IR-E-U-0334,Visvesvaraya National Institute of Technology,64.81,40.49,65.09,57.66,8.92,Nagpur,Maharashtra,51.27,31
IR-E-U-0363,Siksha `O` Anusandhan,71.35,26.31,66.43,60.53,17.65,Bhubaneswar,Odisha,50.39,32
IR-E-U-0202,Birla Institute of Technology,66.84,35.8,57.78,52,25.54,Ranchi,Jharkhand,50.1,33
IR-E-U-0098,Delhi Technological University,60.27,28.07,72.07,53.38,37.22,New Delhi,Delhi,49.97,34
IR-E-U-0497,Amity University,69.51,41.27,48.29,56.32,5.07,Gautam Budh Nagar,Uttar Pradesh,49.03,35
IR-E-U-0473,SRM Institute of Science and Technology,59.85,33.4,63.04,62.18,21.53,Chennai,Tamil Nadu,48.95,36
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,69.13,28.51,63.63,52.66,16.55,Kancheepuram,Tamil Nadu,48.94,37
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,65.79,31.04,64.66,56.42,12.14,Thanjavur,Tamil Nadu,48.83,38
IR-E-U-0014,International Institute of Information Technology Hyderabad,53.08,34.19,73.4,52.49,26.21,Hyderabad,Telangana,48.73,39
IR-E-U-0496,Aligarh Muslim University,69.39,39.46,53.28,32.1,12.14,Aligarh,Uttar Pradesh,47.74,40
IR-E-U-0172,National Institute of Technology Kurukshetra,61.36,36.64,58.47,51.21,13.66,Kurukshetra,Haryana,47.58,41
IR-E-U-0530,Motilal Nehru National Institute of Technology,63.13,28.38,65.55,49.49,19.77,Allahabad,Uttar Pradesh,47.49,42
IR-E-C-7252,Manipal Institute of Technology,68.43,20.68,53.91,62.59,35.31,Manipal,Karnataka,47.31,43
IR-E-C-37013,PSG College of Technology,68.97,17.4,53.37,48.73,58.35,Coimbatore,Tamil Nadu,47.28,44
IR-E-U-0017,Jawaharlal Nehru Technological University,71.2,28.65,55.01,49.64,12.14,Hyderabad,Telangana,47.13,45
IR-E-U-0577,National Institute of Technology Durgapur,52.84,36.16,63.3,46.54,24.63,Durgapur,West Bengal,46.47,46
IR-E-U-0474,Sathyabama Institute of Science and Technology,61.42,28.29,62.26,61.93,5.07,Chennai,Tamil Nadu,46.07,47
IR-E-U-0356,Kalinga Institute of Industrial Technology,65.59,19.17,61.6,68.5,13.36,Bhubaneswar,Odisha,45.94,48
IR-E-C-41593,College of Engineering,58.17,26.17,64.17,51.79,25.77,Pune,Maharashtra,45.89,49
IR-E-U-0395,Indian Institute of Technology Jodhpur,67.68,23.44,57.02,63.26,6.86,Jodhpur,Rajasthan,45.75,50
IR-E-U-0055,National Institute of Technology Silchar,61.31,29.86,61.71,47.42,11.83,Silchar,Assam,45.61,51
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),70.88,21.8,58.27,56.06,3.19,Vaddeswaram,Andhra Pradesh,45.38,52
IR-E-U-0410,Malviya National Institute of Technology,55.73,38.2,58.34,46.63,6.86,Jaipur,Rajasthan,45.2,53
IR-E-U-0078,Panjab University,41.83,50.63,51.81,44.72,10.24,Chandigarh,Chandigarh,43.59,54
IR-E-U-0105,Indraprastha Institute of Information Technology,56.55,24.08,69.36,41.49,12.76,New Delhi,Delhi,43.49,55
IR-E-C-26794,Thiagarajar College of Engineering,61.68,18.98,56.74,49.23,29.2,Madurai,Tamil Nadu,43.38,56
IR-E-U-0297,Defence Institute of Advanced Technology,66.68,32.43,41.05,47.69,5.8,Pune,Maharashtra,43.29,57
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,51.01,27.6,60.91,51.3,9.92,Surat,Gujarat,41.88,58
IR-E-C-24004,College of Engineering Visakhapatnam,65.78,7.41,67.66,55.88,6.51,Visakhapatnam,Andhra Pradesh,41.72,59
IR-E-U-0189,National Institute of Technology Hamirpur,54.71,23,60.48,52.12,8.59,Hamirpur,Himachal Pradesh,41.48,60
IR-E-U-0458,Kalasalingam Academy of Research and Higher Education,67.6,14.08,53.96,55.7,3.95,Srivilliputtur,Tamil Nadu,41.26,61
IR-E-U-0284,Maulana Azad National Institute of Technology,53.27,24.05,66.59,40.74,3.95,Bhopal,Madhya Pradesh,40.98,62
IR-E-C-1269,R. V. College of Engineering,63.58,10.81,60.99,50.62,13.06,Bengaluru,Karnataka,40.88,63
IR-E-C-1331,M. S. Ramaiah Institute of Technology,62.87,8.61,60.49,56.32,13.66,Bengaluru,Karnataka,40.54,64
IR-E-U-0221,International Institute of Information Technology Bangalore,54.81,14.26,61.96,55.76,18.19,Bengaluru,Karnataka,40.51,65
IR-E-S-8931,National Institute of Industrial Engineering,64.8,4.46,67.54,57.18,4.7,Mumbai,Maharashtra,40.48,66
IR-E-U-0619,National Institute of Technology Meghalaya,65.85,18.2,44.33,58.13,4.33,Shillong,Meghalaya,40.32,67
IR-E-C-36969,Coimbatore Institute of Technology,63.46,9.75,50.95,46.48,32.94,Coimbatore,Tamil Nadu,40.1,68
IR-E-C-1262,B. M. S. College of Engineering,62,8.01,58.99,53.02,15.71,Bengaluru,Karnataka,39.67,69
IR-E-U-0493,National Institute of Technology Agartala,58.62,20.58,49.02,52.46,7.22,Agratala,Tripura,39.53,70
IR-E-C-43708,College of Engineering,59.95,8.9,60.96,49.4,16.27,Thiruvananthapuram,Kerala,39.42,71
IR-E-U-0460,Karunya Institute of Technology and Sciences,55.46,18.11,49.4,55.47,18.72,Coimbatore,Tamil Nadu,39.37,72
IR-E-U-0099,Guru Gobind Singh Indraprastha University,49.91,30.6,50.2,46.25,3.95,New Delhi,Delhi,39.21,73
IR-E-U-0092,National Institute of Technology Raipur,56.46,20.11,54.48,49.4,2.81,Raipur,Chhattisgarh,39.09,74
IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",44.76,28.02,60.95,45.9,3.19,Jabalpur,Madhya Pradesh,38.94,75
IR-E-C-6581,Pondicherry Engineering College,59.92,18.37,46.02,44.74,13.96,Puducherry,Pondicherry,38.56,76
IR-E-C-36926,Kumaraguru College of Technology,61.09,8.59,57.4,45.64,15.99,Coimbatore,Tamil Nadu,38.55,77
IR-E-U-0080,PEC University of Technology,49.83,12.62,61.98,56.49,16.27,Chandigarh,Chandigarh,38.42,78
IR-E-C-1297,Siddaganga Institute of Technology,60.4,11.37,56.07,50.84,1.63,Tumkur,Karnataka,37.98,79
IR-E-U-0522,Jaypee Institute of Information Technology,47.52,18.18,56,53.57,15.99,Noida,Uttar Pradesh,37.87,80
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,46.9,20.12,58.51,56.86,3.19,Gwalior,Madhya Pradesh,37.82,81
IR-E-U-0516,Indian Institute of Information Technology Allahabad,42.66,16.38,68.86,45.45,17.1,Allahabad,Uttar Pradesh,37.74,82
IR-E-C-27616,University College of Engineering,60.92,3.78,65.43,50.24,1.63,Hyderabad,Telangana,37.68,83
IR-E-U-0507,Dayalbagh Educational Institute,60.92,6.98,53.07,51.8,14.26,Agra,Uttar Pradesh,37.59,84
IR-E-U-0201,Shri Mata Vaishno Devi University,64.84,15.99,45.8,37.52,1.63,Katra,Jammu and Kashmir,37.32,85
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,53.49,25.53,37.45,57.83,2.41,Chennai,Tamil Nadu,37.22,86
IR-E-U-0620,National Institute of Technology Goa,59.23,12.79,50.17,48.37,5.8,Ponda,Goa,37.06,87
IR-E-C-27058,Mepco Schlenk Engineering College,51.38,16.75,51.01,48.21,14.55,Sivakasi,Tamil Nadu,36.92,88
IR-E-U-0037,Sri Venkateswara University,47.38,29.9,43.2,45.19,3.19,Tirupati,Andhra Pradesh,36.66,89
IR-E-C-36975,Government College of Technology,52.33,8.3,51.77,51.89,26.87,Coimbatore,Tamil Nadu,36.42,90
IR-E-C-42054,Army Institute of Technology,53.18,2.46,64.86,58.4,8.92,Pune,Maharashtra,36.39,91
IR-E-U-0130,Dhirubhai Ambani Institute of Information and Communication Technology,48.98,10.06,64.9,46.8,10.24,Gandhinagar,Gujarat,36.39,91
IR-E-C-41309,Bharati Vidyapeeth Deemed University College of Engineering,53.31,3.61,59.38,66.1,5.8,Pune,Maharashtra,36.14,93
IR-E-C-30045,C. V. Raman College of Engineering,54.56,4.24,60.8,53.58,9.59,Bhubaneswar,Odisha,36.12,94
IR-E-U-0454,Hindustan Institute of Technology and Science,59.96,8.47,47.83,53.23,6.86,Chennai,Tamil Nadu,36.11,95
IR-E-U-0382,Punjab Technical University,76.47,24.94,5.46,42.83,2.02,Kapurthala,Punjab,35.99,96
IR-E-C-36995,Sri Krishna College of Engineering and Technology,57.92,2.29,63.51,46.64,5.44,Coimbatore,Tamil Nadu,35.97,97
IR-E-C-36984,Bannari Amman Institute of Technology,56.28,6.59,53.94,44.92,17.65,Sathyamangalam,Tamil Nadu,35.9,98
IR-E-C-37065,Kongu Engineering College,58.18,8.21,48.37,45.7,17.38,Perundurai,Tamil Nadu,35.89,99
IR-E-C-25622,Chaitanya Bharathi Institute of Technology,61.07,2.16,56.8,51.01,4.33,Hyderabad,Telangana,35.86,100
IR-E-C-37028,Sona College of Technology,61.49,6.57,50.52,48.69,3.95,Salem,Tamil Nadu,35.79,101
IR-E-C-6192,Institute of Engineering & Management,51.11,10.95,55.18,58.6,2.81,Kolkata,West Bengal,35.79,101
IR-E-C-18154,University College of Engineering,55.08,4.2,61.68,55.55,0.82,Kakinada,Andhra Pradesh,35.75,103
IR-E-U-0555,Graphic Era University,59.87,14.68,39.21,54.45,0.41,Dehradun,Uttarakhand,35.69,104
IR-E-C-33641,Veermata Jijabai Technological Institute,46.15,10.65,68.05,40.99,8.92,Mumbai,Maharashtra,35.64,105
IR-E-C-1371,New Horizon College of Engineering,56.3,1.71,61.75,56.68,0.82,Bengaluru,Karnataka,35.5,106
IR-E-U-0043,"Vignan`s Foundation for Science, Technology and Research",62.2,5.55,46.65,56.55,1.63,Guntur,Andhra Pradesh,35.48,107
IR-E-U-0487,Tamil Nadu Veterinary & Animal Sciences University,66.45,4.16,48.45,43.71,0.82,Chennai,Tamil Nadu,35.32,108
IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,62.34,4.63,50.49,50.07,0.82,Hyderabad,Telangana,35.28,109
IR-E-N-10,SVKM`s Narsee Monjee Institute of Management Studies,57.24,6.48,51.37,57.48,1.22,Mumbai,Maharashtra,35.26,110
IR-E-C-18817,G. H. Raisoni College of Engineering,52.08,8.99,59.86,48.22,0.82,Nagpur,Maharashtra,35.19,111
IR-E-C-18886,Shri Ramdeobaba College of Engineering and Management,61.36,2.75,54.7,48.52,0,Nagpur,Maharashtra,35.02,112
IR-E-U-0374,Dr. B. R. Ambedkar National Institute of Technology,45.07,18.89,58.63,35.09,5.8,Jalandhar,Punjab,35.01,113
IR-E-C-33773,Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,51.68,6.16,62.73,47.19,1.63,Mumbai,Maharashtra,34.79,114
IR-E-U-0223,Jain university,47.38,18.64,46,56.74,0.82,Bengluru,Karnataka,34.76,115
IR-E-C-9462,"School of Engineering, Cochin University of Science and Technology",49.45,23.58,37.28,44.71,6.51,Cochin,Kerala,34.49,116
IR-E-U-0747,Chandigarh University,50.42,3.17,56.81,68.46,2.02,Mohali,Punjab,34.48,117
IR-E-S-8898,"National Institute of Food Technology, Enterprenurship & Management",51.7,2.52,59.41,62.94,0.41,Sonipat,Haryana,34.48,117
IR-E-U-0163,The Northcap University,54.21,13.5,46.11,49.48,0,Gurgaon,Haryana,34.48,117
IR-E-C-1412,Sri Jayachamarajendra College of Engineering,56.21,2.45,55.88,52.19,4.33,Mysore,Karnataka,34.43,120
IR-E-U-0186,Jaypee University of Information Technology,43.49,16.46,47.36,47.63,22.03,Solan,Himachal Pradesh,34.42,121
IR-E-U-0332,The Rashtrasant Tukadoji Maharaj Nagpur University,44.22,25.78,45.6,42.47,0,Nagpur,Maharashtra,34.37,122
IR-E-C-16547,Sri Sairam Engineering College,54.76,3.28,56.4,52.34,3.95,Kancheepuram,Tamil Nadu,34.32,123
IR-E-C-16590,Saveetha Engineering College,55.68,2.99,55.82,53.45,0.41,Sriperumbudur,Tamil Nadu,34.14,124
IR-E-U-0379,Lovely Professional University,53.11,10.08,44.66,61.73,0.41,Phagwara,Punjab,34.09,125
IR-E-U-0367,Veer Surendra Sai University of Technology,48.93,15.65,48.38,45.98,4.33,Burla,Odisha,34.08,126
IR-E-C-1413,Dayananda Sagar College of Engineering,51.05,4.34,57.87,55.33,2.81,Bengaluru,Karnataka,33.99,127
IR-E-C-1400,N. M. A. M. Institute of Technology,55.92,3.66,49.16,51.38,9.92,Nitte,Karnataka,33.84,128
IR-E-C-16537,St. Josephs College of Engineering,57.62,5.38,54.55,40.28,0,Kancheepuram,Tamil Nadu,33.84,128
IR-E-U-0207,National Institute of Technology Jamshedpur,49.66,9.48,61.14,28.02,10.24,Jamshedpur,Jharkhand,33.8,130
IR-E-U-0445,B. S. Abdur Rahman Crescent Institute of Science and Technology,58.98,7.73,43.23,45.28,5.07,Chennai,Tamil Nadu,33.7,131
IR-E-C-19607,CVR College of Engineering,56.59,0.62,56.32,51.43,0.82,Ibrahimpatan,Telangana,33.65,132
IR-E-U-0384,Sant Longowal Institute of Engineering & Technology,58.54,17.37,27.76,52.68,0.41,Longowal,Punjab,33.63,133
IR-E-U-0072,National Institute of Technology Patna,51.95,10.72,49.46,39.9,8.92,Patna,Bihar,33.58,134
IR-E-C-18254,Yeshwantrao Chavan College of Engineering,56.43,9.61,43.84,50.01,0,Nagpur,Maharashtra,33.58,134
