institute_id,name,tlr,rpc,go,oi,perception,city,state,score,rank
IR-3-E-OEM-C-36926,Kumaraguru College of Technology,57.39,7.31,57.61,49.4,13.2,Coimbatore,Tamil Nadu,37.19,82
IR-1-E-E-C-41309,Bharati Vidyapeeth Deemed University College of Engineering,52.34,7.37,59.5,65.63,6.44,Pune,Maharashtra,37.01,83
IR-2-E-OE-U-0186,Jaypee University of Information Technology,45.26,16.66,53.23,55.7,21.96,Solan,Himachal Pradesh,37,84
IR-2-E-OE-C-24163,Sagi Ramakrishnam Raju Engineering College,61.09,1.68,58.2,62.1,2.09,Bhimavaram,Andhra Pradesh,36.89,85
IR-5-E-OEMAL-U-0099,Guru Gobind Singh Indraprastha University,42.73,26.82,54.91,49.28,1.06,New Delhi,Delhi,36.89,85
IR-3-E-OEM-U-0733,PES University,51.56,12.16,54.62,60.91,7.35,Bengaluru,Karnataka,36.86,87
IR-1-E-E-C-42054,Army Institute of Technology,54.67,2.33,64.84,60.38,5.97,Pune,Maharashtra,36.71,88
IR-1-E-E-C-30045,C. V. Raman College of Engineering,54.87,6.82,60.98,56.29,3.59,Bhubaneswar,Odisha,36.7,89
IR-1-E-E-U-0516,Indian Institute of Information Technology Allahabad,39.58,17.27,67.6,44.05,16.21,Allahabad,Uttar Pradesh,36.59,90
IR-1-E-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",41.04,24.86,59.84,43.74,3.09,Jabalpur,Madhya Pradesh,36.42,91
IR-1-E-E-U-0493,National Institute of Technology Agartala,54.42,20.09,46.76,42.46,4.08,Agratala,Tripura,36.36,92
IR-1-E-E-C-36975,Government College of Technology,50.86,8.46,50.37,55.9,28.93,Coimbatore,Tamil Nadu,36.35,93
IR-4-E-OEMA-U-0201,Shri Mata Vaishno Devi University,65.02,12.58,47.97,34.12,0,Katra,Jammu and Kashmir,36.28,94
IR-1-E-E-C-33641,Veermata Jijabai Technological Institute,49.39,11.82,67.69,37.26,5.97,Mumbai,Maharashtra,36.24,95
IR-4-E-OEMA-U-0458,Kalasalingam Academy of Research and Higher Education,59.06,12.3,48.68,47.64,3.09,Srivilliputtur,Tamil Nadu,36.22,96
IR-2-E-EP-C-18154,University College of Engingeering,56.04,5.7,61.37,53.06,0,Kakinada,Andhra Pradesh,36.1,97
IR-2-E-OE-U-0619,National Institute of Technology Meghalaya,63.62,11.41,48.19,35.93,2.6,Shillong,Meghalaya,36,98
IR-1-E-E-C-1371,New Horizon College of Engineering,57,2.23,62.4,56.96,0,Bengaluru,Karnataka,35.95,99
IR-1-E-E-C-1352,NITTE Meenakshi Institute of Technology,57.24,2.53,57.97,57.19,5.97,Bengaluru,Karnataka,35.84,100
